dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,objID1,distance
spectrum,-1,JWST,jw01208023001_xx10D_00002_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F200W;GR150R,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.0418460661395 -24.098753197468852 64.0102419807682 -24.07526435291834 64.03633146330255 -24.04630465039645 64.06790588302951 -24.069808670001407 ,,,,,,SCIENCE,10000004237,10000004466,10000004466,0
spectrum,-1,JWST,jw01208023001_xx10G_00005_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F200W;GR150R,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04174372609789 -24.09852361415426 64.0101397160371 -24.075034748598682 64.03622917497374 -24.04607506341449 64.06780351942608 -24.069579104029913 ,,,,,,SCIENCE,10000010639,10000004469,10000004469,0
spectrum,-1,JWST,jw01208023001_xx10K_00001_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,558.312,INFRARED,F200W;,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04159422290671 -24.098589519831478 64.00999022401193 -24.075100623580912 64.036079730076 -24.046140963734047 64.06765406338992 -24.069645035036103 ,,,,,,SCIENCE,10000010643,10000004473,10000004473,0
spectrum,-1,JWST,jw01208023001_xx10L_00001_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,558.312,INFRARED,F150W;,1300000000000,1700000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04177997317171 -24.098597787662243 64.01017593819635 -24.075108929546502 64.03626540403874 -24.04614923822146 64.06783977339339 -24.069653271395453 ,,,,,,SCIENCE,10000010644,10000004474,10000004474,0
spectrum,-1,JWST,jw01208023001_xx10T_00008_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F150W;GR150C,1300000000000,1700000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04159422290671 -24.098589519831478 64.00999022401193 -24.075100623580912 64.036079730076 -24.046140963734047 64.06765406338992 -24.069645035036103 ,,,,,,SCIENCE,10000004244,10000004482,10000004482,0
spectrum,-1,JWST,jw01208023001_xx11C_00007_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F115W;GR150C,1000000000000,1300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04165764135338 -24.098719295156286 64.01005359886767 -24.075230411922405 64.03614311701453 -24.04627074133151 64.06771749389794 -24.06977479961398 ,,,,,,SCIENCE,10000010657,10000004501,10000004501,0
spectrum,-1,JWST,jw01208041001_xx102_00001_nirspec,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,875.333,INFRARED,CLEAR;PRISM,600000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.05471577530845 -24.036785088490035 63.995063630851455 -24.063236091645933 64.02350342524205 -24.117711762598958 64.0835786248161 -24.092024227844377 ,,,,,,SCIENCE,10000010776,10000004711,10000004711,0
spectrum,-1,JWST,jw01208041001_xx104_00003_nirspec,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,875.333,INFRARED,CLEAR;PRISM,600000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.05457064287141 -24.03684832890019 63.99491843912858 -24.063299275756947 64.0233581857839 -24.11777497355456 64.08343344414433 -24.092087495496685 ,,,,,,SCIENCE,10000010778,10000004713,10000004713,0
image,-1,JWST,jw01176211001_xx102_00002_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,1374.307,INFRARED,F090W;F444W;,795000000000,1005000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04859212249701 -24.098000953923417 63.96177113549627 -24.066701560736362 63.976628463081475 -24.032894118194633 64.0623522623949 -24.06377271534734 ,,,,,,SCIENCE,10000002614,10000000174,10000000174,0
image,-1,JWST,jw01176211001_xx109_00003_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F150W;F356W;,1331000000000,1668000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.05090366707832 -24.097061249938918 63.96408275124083 -24.065763160704023 63.978939361599316 -24.031955495116904 64.06466308904126 -24.06283280459877 ,,,,,,SCIENCE,10000002148,10000000181,10000000181,0
